Ref,Val,Package,PosX,PosY,Rot,Side
"U2","HUSB238_002DD","DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm",242.340000,-149.967000,180.000000,top
"U3","ESP32-S3-WROOM-1-N8R2","IC_EXPIF_ESP32-S3-WROOM-1-N8R2",250.060000,-123.100000,-90.000000,top
"U4","74HC393D","IC_NEXPERIA_74HC393D",232.224150,-110.500000,0.000000,top
"U5","IC_DIOD_LM4040D30FTA","SOT-23",257.000000,-96.800000,0.000000,top
"U6","RS2254XQ","IC_RUNIC_RS2254XQ",254.449999,-104.029999,180.000000,top
"U7","SC-88_SOT363_NEX","IC_NEXPERIA_74LVC1G386GW",221.667050,-124.775000,-90.000000,top
"U8","74VHCT126AFT","IC_TOSHIBA_74VHCT126AFT",226.317050,-125.025000,90.000000,top
"VR1","RK097111080R","POT_ALPS_RK097111080R",238.300000,-20.666700,90.000000,top
"VR2","RK09711110EL","POT_ALPS_RK09711110EL",238.700000,-47.000000,0.000000,top
"VR3","RK09711110EL","POT_ALPS_RK09711110EL",238.800000,6.333300,0.000000,top
